FIPSCODE,elevation,duration_mins_decimal,AHRF_USDA_RUCC_2013,ACS_PCT_MOBILE_HOME,ACS_PCT_NON_CITIZEN,ACS_PCT_DIVORCE_SEPARAT,ACS_PCT_FOOD_STAMP,ACS_PCT_VA_POOR,ACS_PCT_NONVA_POOR,ACS_PCT_VA_DISABLE,ACS_PCT_HH_PUB_ASSIST,Violent crime raw value,Frequent mental distress raw value,mean_temp,PM2.5,temperature_humid_index
48411,0.11192828210228381,0.029183389860156853,0.7777777777777778,0.14047,0.08856,0.17161,0.09125,0.125,0.14264,0.16667,0.01236,0.1028045709439418,0.1209435865,0.8099949101487014,0.3152173913043479,0.7392790990639623
48425,0.05694474624054915,0.012322523590635657,0.1111111111111111,0.22728,0.01533,0.15872,0.1568399999999999,0.15341,0.26252,0.04545,0.0105,0.0470190500259041,0.1158517804,0.802485463990503,0.3423913043478261,0.7699947704427024
48429,0.1139145647728729,0.041690556943081214,0.7777777777777778,0.16869,0.0289199999999999,0.1649,0.16401,0.03774,0.2253099999999999,0.15094,0.05814,0.0902482909266321,0.1194138071,0.8062262406794745,0.2880434782608696,0.6906483069359552
48433,0.14587895097531217,0.0389694949514582,1.0,0.11608,0.00433,0.10252,0.07904,0.0,0.14417,0.125,0.02062,0.1059682383411026,0.1187885783,0.7630908909711718,0.2554347826086957,0.6906208975074541
48445,0.28391584624556365,0.02640401939728477,0.6666666666666666,0.1108799999999999,0.06809,0.1742,0.20713,0.03226,0.1384,0.18065,0.01411,0.1714296660804895,0.1196743393,0.7138268920969388,0.266304347826087,0.6342142781468174
48449,0.03579208941336409,0.03293456817718001,0.7777777777777778,0.18284,0.14632,0.12555,0.1686,0.11277,0.1618,0.1574499999999999,0.0129,0.147263738081315,0.1232404584,0.7524871465805054,0.3858695652173912,0.676999199611441
48459,0.029780311007850415,0.01685114819097968,0.3333333333333333,0.21821,0.02595,0.15924,0.14064,0.03268,0.128,0.25136,0.01475,0.1767340677842595,0.1119605058,0.7494053081411636,0.3913043478260869,0.7225130180880643
48463,0.09511591756230464,0.0522346721606204,0.6666666666666666,0.1766,0.07634,0.14785,0.19498,0.06468,0.15071,0.1791,0.01889,0.223856417914838,0.1256218309,0.8233973780153014,0.3369565217391304,0.78638075520733
48475,0.2217672065566829,0.03449917882236324,0.6666666666666666,0.17353,0.04902,0.10932,0.09884,0.00735,0.1205,0.02574,0.0182,0.2825102822415183,0.1105409782,0.7738008575399677,0.2717391304347826,0.6946378211255875
48491,0.05713139552376018,0.01922235935510831,0.1111111111111111,0.02499,0.06572,0.12746,0.05389,0.0504999999999999,0.06597,0.16288,0.01377,0.0853186546109437,0.0929479179,0.81069690019547,0.4130434782608695,0.7966227246384798
48497,0.0710604465096584,0.005286634726581861,0.1111111111111111,0.27316,0.04913,0.14142,0.10385,0.09721,0.11,0.18867,0.01282,0.0887293861734816,0.1091335987,0.7865144646849216,0.3804347826086957,0.7059963676147785
48507,0.056476730127422964,0.06421706300230318,0.7777777777777778,0.2283599999999999,0.0420399999999999,0.16491,0.38472,0.0,0.2246399999999999,0.60248,0.03676,0.151915234748591,0.1488196719,0.8233973780153014,0.3586956521739131,0.848568205109854
49011,0.35650848836367083,0.0,0.2222222222222222,0.02834,0.02098,0.09525,0.06254,0.02467,0.0542999999999999,0.13711,0.01315,0.0614581743102314,0.0965978346,0.5578316539558992,0.3206521739130435,0.4932448964077923
47185,0.08270513313386932,0.014431346634143496,0.7777777777777778,0.16966,0.00549,0.15833,0.18139,0.11849,0.16535,0.14175,0.02321,0.1680741090520965,0.1445115194,0.6479137213898001,0.266304347826087,0.5974743526991031
47189,0.054986321671931855,0.016967765133477808,0.1111111111111111,0.07715,0.02613,0.13211,0.0882,0.01725,0.07782,0.17913,0.0113599999999999,0.1820429307312463,0.1158161005,0.6822327216367696,0.3260869565217391,0.6259179061570024
48009,0.08346287350750219,0.021117384670702906,0.3333333333333333,0.09325,0.01923,0.12361,0.06423,0.02477,0.07939,0.13622,0.0036,0.0901561749010718,0.1044310701,0.7502426257730734,0.3097826086956521,0.6608122915843478
48011,0.2844145062708588,0.020835560392999098,0.2222222222222222,0.13519,0.00365,0.13605,0.02684,0.0,0.075,0.0,0.0,0.0789373572061437,0.0969178323,0.6572658914207667,0.217391304347826,0.5878210494552685
48021,0.030947565480468685,0.01874617350657428,0.1111111111111111,0.26263,0.0803,0.1454,0.12728,0.04792,0.09655,0.24653,0.02411,0.1880109452888881,0.1132273964,0.7871386684285759,0.3913043478260869,0.7763117416528451
